,openYear,전국 관객수,서울 관객수
0,1962,0,180856
1,1968,0,12382
2,1971,0,11503090
3,1972,0,10738276
4,1973,0,8328184
5,1974,0,8666719
6,1975,0,6404110
7,1976,0,6644252
8,1977,705207,12534576
9,1978,0,13928736
10,1979,0,13585531
11,1980,0,9408185
12,1981,0,8435149
13,1982,0,8849184
14,1983,0,8129985
15,1984,0,8187996
16,1985,0,9681348
17,1986,0,8781418
18,1987,0,10033570
19,1988,0,12375591
20,1989,0,13628392
21,1990,0,16533455
22,1991,0,16131743
23,1992,0,15614605
24,1993,0,17666055
25,1994,4,17938601
26,1995,0,17147083
27,1996,0,18127527
28,1997,1,20023394
29,1998,4,22685212
30,1999,10165000,23985190
31,2000,0,27603178
32,2001,1,36681745
33,2002,18213000,40354956
34,2003,128336657,46062043
35,2004,133896726,44978012
36,2005,156934214,50184994
37,2006,157868822,47679453
38,2007,153726267,47951584
39,2008,154303659,50341137
40,2009,161568039,49293765
41,2010,141197119,43407987
42,2011,158444463,47206216
43,2012,195191788,56115174
44,2013,214374158,59792902
45,2014,215955499,58794554
46,2015,208916769,56600074
47,2016,212928941,57049324
48,2017,225312985,58635474
49,2018,205581145,53250017
50,2019,226578274,57013950
51,2020,50741877,13245891
