,openYear,전국 매출액,서울 매출액
0,1962,0.0,0.0
1,1968,0.0,0.0
2,1971,0.0,0.0
3,1972,0.0,0.0
4,1973,0.0,0.0
5,1974,0.0,0.0
6,1975,0.0,0.0
7,1976,0.0,0.0
8,1977,0.0,0.0
9,1978,0.0,0.0
10,1979,0.0,0.0
11,1980,0.0,0.0
12,1981,0.0,0.0
13,1982,0.0,0.0
14,1983,0.0,0.0
15,1984,0.0,0.0
16,1985,0.0,0.0
17,1986,0.0,0.0
18,1987,0.0,0.0
19,1988,0.0,0.0
20,1989,0.0,0.0
21,1990,0.0,0.0
22,1991,0.0,0.0
23,1992,0.0,0.0
24,1993,0.0,0.0
25,1994,0.0,0.0
26,1995,0.0,0.0
27,1996,0.0,0.0
28,1997,0.0,0.0
29,1998,0.0,0.0
30,1999,0.0,0.0
31,2000,0.0,0.0
32,2001,0.0,0.0
33,2002,0.0,0.0
34,2003,0.0,0.0
35,2004,0.0,0.0
36,2005,0.0,0.0
37,2006,0.0,0.0
38,2007,45517565.0,1633021333.0
39,2008,1004335219639.0,344726432018.0
40,2009,1156662584060.0,372840687700.0
41,2010,1086875136157.0,352648999850.0
42,2011,1226087630000.0,385447085900.0
43,2012,1455017508744.0,441504559485.0
44,2013,1561903954258.0,460370266851.0
45,2014,1680591723764.0,478880489164.0
46,2015,1653029524852.0,467742042422.0
47,2016,1714675333530.0,480162022316.0
48,2017,1803154287955.0,488866855297.0
49,2018,1731173994794.0,467808242743.0
50,2019,1916749792234.0,501868374185.0
51,2020,440269016283.0,117679395703.0
