,movieCd,movieNm,openDt,repNationNm,영화명_개봉일_대표국적,영화명,개봉일,서울 관객수,전국 관객수,국적,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
0,20010003,꽃섬,2001-11-23,한국,꽃섬_2001-11-23_한국,꽃섬,2001-11-23,7716,0,한국,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19760026,사랑의스잔나,1976-08-12,한국,사랑의스잔나_1976-08-12_한국,사랑의스잔나,1976-08-12,266712,0,한국,1976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19810007,빙점'81,1981-04-18,한국,빙점'81_1981-04-18_한국,빙점'81,1981-04-18,176624,0,한국,1981,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19730003,어머니의영광,1973-02-24,한국,어머니의영광_1973-02-24_한국,어머니의영광,1973-02-24,9724,0,한국,1973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19880018,칠소여복성,1988-03-26,한국,칠소여복성_1988-03-26_한국,칠소여복성,1988-03-26,3387,0,한국,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,19910006,베를린리포트,1991-06-08,한국,베를린리포트_1991-06-08_한국,베를린리포트,1991-06-08,80435,0,한국,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,19800041,나를보러와요,1980-07-10,한국,나를보러와요_1980-07-10_한국,나를보러와요,1980-07-10,21188,0,한국,1980,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20181676,아내의맛무삭제판,2019-04-22,한국,아내의맛무삭제판_2019-04-22_한국,아내의맛무삭제판,2019-04-22,0,1,한국,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19940224,에덴의마지막날,1994-06-18,미국,에덴의마지막날_1994-06-18_미국,에덴의마지막날,1994-06-18,10932,0,미국,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,19940388,스페셜리스트,1994-11-19,미국,스페셜리스트_1994-11-19_미국,스페셜리스트,1994-11-19,384981,0,미국,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10,19940407,분노의폭발,1994-12-03,미국,분노의폭발_1994-12-03_미국,분노의폭발,1994-12-03,47968,0,미국,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,20070059,판타스틱4:실버서퍼의위협,2007-08-08,미국,판타스틱4:실버서퍼의위협_2007-08-08_미국,판타스틱4:실버서퍼의위협,2007-08-08,161682,631990,미국,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12,20070430,레인오버미,2007-09-06,미국,레인오버미_2007-09-06_미국,레인오버미,2007-09-06,2180,2180,미국,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20152105,"시발,놈:인류의시작",2016-08-18,한국,"시발,놈:인류의시작_2016-08-18_한국","시발,놈:인류의시작",2016-08-18,794,1159,한국,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,20070585,어거스트러쉬,2007-11-29,미국,어거스트러쉬_2007-11-29_미국,어거스트러쉬,2007-11-29,886657,2218573,미국,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20030350,올드보이,2003-11-21,한국,올드보이_2003-11-21_한국,올드보이,2003-11-21,1188417,3269000,한국,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,20125431,나비와바다,2013-01-24,한국,나비와바다_2013-01-24_한국,나비와바다,2013-01-24,511,1235,한국,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19980085,크래쉬,1998-03-07,미국,크래쉬_1998-03-07_미국,크래쉬,1998-03-07,110551,0,미국,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,19920065,빠담풍,1992-05-16,한국,빠담풍_1992-05-16_한국,빠담풍,1992-05-16,13203,0,한국,1992,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19890010,오늘여자,1989-03-04,한국,오늘여자_1989-03-04_한국,오늘여자,1989-03-04,55621,0,한국,1989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,19910108,열일곱살의쿠데타,1991-08-03,한국,열일곱살의쿠데타_1991-08-03_한국,열일곱살의쿠데타,1991-08-03,3622,0,한국,1991,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20030402,써클,2003-11-14,한국,써클_2003-11-14_한국,써클,2003-11-14,13180,32256,한국,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,19900011,나는날마다일어선다,1990-02-17,한국,나는날마다일어선다_1990-02-17_한국,나는날마다일어선다,1990-02-17,29812,0,한국,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19820110,해바라기,1982-11-14,이탈리아,해바라기_1982-11-14_이탈리아,해바라기,1982-11-14,295877,0,이탈리아,1982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,19880032,나그네는길에서도쉬지않는다,1988-06-11,한국,나그네는길에서도쉬지않는다_1988-06-11_한국,나그네는길에서도쉬지않는다,1988-06-11,7435,0,한국,1988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,19850062,어우동,1985-09-28,한국,어우동_1985-09-28_한국,어우동,1985-09-28,392678,0,한국,1985,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
26,19840055,무릎과무릎사이,1984-09-30,한국,무릎과무릎사이_1984-09-30_한국,무릎과무릎사이,1984-09-30,263334,0,한국,1984,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,20090042,핸드폰,2009-02-19,한국,핸드폰_2009-02-19_한국,핸드폰,2009-02-19,169335,630049,한국,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,20070104,극락도살인사건,2007-04-12,한국,극락도살인사건_2007-04-12_한국,극락도살인사건,2007-04-12,647717,2259511,한국,2007,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,20050349,홀리데이,2006-01-19,한국,홀리데이_2006-01-19_한국,홀리데이,2006-01-19,372051,1458896,한국,2006,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,19970100,첨밀밀,1997-03-01,홍콩,첨밀밀_1997-03-01_홍콩,첨밀밀,1997-03-01,63366,0,홍콩,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,20081391,미쓰홍당무,2008-10-16,한국,미쓰홍당무_2008-10-16_한국,미쓰홍당무,2008-10-16,197039,532324,한국,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,20163285,드롭박스,2016-05-19,한국,드롭박스_2016-05-19_한국,드롭박스,2016-05-19,1657,2180,한국,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,19770058,사랑의원자탄,1977-11-09,한국,사랑의원자탄_1977-11-09_한국,사랑의원자탄,1977-11-09,77103,0,한국,1977,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,20100191,시,2010-05-13,한국,시_2010-05-13_한국,시,2010-05-13,111181,222017,한국,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,20173202,버닝,2018-05-17,한국,버닝_2018-05-17_한국,버닝,2018-05-17,194098,528153,한국,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,19820118,환타지아,1982-10-01,미국,환타지아_1982-10-01_미국,환타지아,1982-10-01,111653,0,미국,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,20163041,자백,2016-10-13,한국,자백_2016-10-13_한국,자백,2016-10-13,55388,129950,한국,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20191546,월성,2019-12-12,한국,월성_2019-12-12_한국,월성,2019-12-12,1694,5138,한국,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20173991,얼굴들,2019-01-24,한국,얼굴들_2019-01-24_한국,얼굴들,2019-01-24,1493,2016,한국,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19860106,구니스,1986-07-19,미국,구니스_1986-07-19_미국,구니스,1986-07-19,337866,0,미국,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
41,20101394,7인의말괄량이,1976-01-15,한국,7인의말괄량이_1976-01-15_한국,7인의말괄량이,1976-01-15,23782,0,한국,1976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,19950257,아폴로13,1995-08-05,미국,아폴로13_1995-08-05_미국,아폴로13,1995-08-05,198185,0,미국,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,19770042,쌍무지개뜨는언덕,1977-08-25,한국,쌍무지개뜨는언덕_1977-08-25_한국,쌍무지개뜨는언덕,1977-08-25,34896,0,한국,1977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,20090379,해리포터와혼혈왕자,2009-07-15,미국,해리포터와혼혈왕자_2009-07-15_미국,해리포터와혼혈왕자,2009-07-15,907125,3002669,미국,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45,20148840,자유의언덕,2014-09-04,한국,자유의언덕_2014-09-04_한국,자유의언덕,2014-09-04,27243,38313,한국,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,20153450,우리들,2016-06-16,한국,우리들_2016-06-16_한국,우리들,2016-06-16,27794,48223,한국,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,19770028,야행,1977-04-23,한국,야행_1977-04-23_한국,야행,1977-04-23,135047,0,한국,1977,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,20060284,라디오스타,2006-09-28,한국,라디오스타_2006-09-28_한국,라디오스타,2006-09-28,691408,1879501,한국,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,20149264,춘희막이,2015-09-30,한국,춘희막이_2015-09-30_한국,춘희막이,2015-09-30,13247,29473,한국,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,20174323,B급며느리,2018-01-17,한국,B급며느리_2018-01-17_한국,B급며느리,2018-01-17,9976,19459,한국,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20177539,사바하,2019-02-20,한국,사바하_2019-02-20_한국,사바하,2019-02-20,654182,2397792,한국,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,20090093,정사,1998-10-03,한국,정사_1998-10-03_한국,정사,1998-10-03,304666,0,한국,1998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,19970264,아름다운청춘,1997-10-18,스웨덴,아름다운청춘_1997-10-18_스웨덴,아름다운청춘,1997-10-18,66557,0,스웨덴,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
