,movieCd,movieNm,openDt,repNationNm,영화명_개봉일_대표국적
488,19820118,환타지아,1982-10-01,미국,환타지아_1982-10-01_미국
2386,20040745,인크레더블,2004-12-15,미국,인크레더블_2004-12-15_미국
5830,20207443,소울,2021-01-20,미국,소울_2021-01-20_미국
11084,19980282,벅스라이프,1998-12-12,미국,벅스라이프_1998-12-12_미국
12692,20030072,니모를찾아서,2003-06-05,미국,니모를찾아서_2003-06-05_미국
12703,20090391,업,2009-07-29,미국,업_2009-07-29_미국
12705,20010292,몬스터주식회사,2001-12-20,미국,몬스터주식회사_2001-12-20_미국
12706,19920231,미녀와야수,1992-07-04,미국,미녀와야수_1992-07-04_미국
12708,19980173,뮬란,1998-07-17,미국,뮬란_1998-07-17_미국
12709,19940256,라이온킹,1994-07-02,미국,라이온킹_1994-07-02_미국
12710,19970306,인어공주,1991-12-21,미국,인어공주_1991-12-21_미국
12725,20000211,환타지아2000,2000-08-05,미국,환타지아2000_2000-08-05_미국
17714,20159748,투모로우랜드,2015-05-27,미국,투모로우랜드_2015-05-27_미국
20441,20090866,G-포스:기니피그특공대,2010-04-22,미국,G-포스:기니피그특공대_2010-04-22_미국
20522,20090850,공주와개구리,2010-01-21,미국,공주와개구리_2010-01-21_미국
21347,20060086,와일드,2006-04-20,미국,와일드_2006-04-20_미국
21478,19950232,포카혼타스,1995-07-01,미국,포카혼타스_1995-07-01_미국
21597,19940097,쿨러닝,1994-02-05,미국,쿨러닝_1994-02-05_미국
21646,19960361,101달마시안,1996-12-21,미국,101달마시안_1996-12-21_미국
22053,20108885,그레이트월츠,1973-03-15,미국,그레이트월츠_1973-03-15_미국
22273,20108734,마술의검,1972-01-01,미국,마술의검_1972-01-01_미국
22318,20108729,그리즈리킹,1972-05-27,미국,그리즈리킹_1972-05-27_미국
22652,19538001,피터팬,1957-06-13,미국,피터팬_1957-06-13_미국
22733,20000224,디플로메틱시즈,2000-08-26,미국,디플로메틱시즈_2000-08-26_미국
24043,19990226,타잔,1999-07-17,미국,타잔_1999-07-17_미국
24133,20020152,릴로와스티치,2002-07-19,미국,릴로와스티치_2002-07-19_미국
24288,19950351,산타클로스,1995-12-09,미국,산타클로스_1995-12-09_미국
24424,20030135,캐리비안의해적:블랙펄의저주,2003-09-05,미국,캐리비안의해적:블랙펄의저주_2003-09-05_미국
24428,20030071,어벤던,2003-05-30,미국,어벤던_2003-05-30_미국
24432,20020018,리크루트,2003-03-14,미국,리크루트_2003-03-14_미국
24436,20020004,보물성,2003-01-01,미국,보물성_2003-01-01_미국
24465,20010169,리멤버타이탄,2001-04-14,미국,리멤버타이탄_2001-04-14_미국
24539,20020124,피터팬의리턴투네버랜드,2002-05-02,미국,피터팬의리턴투네버랜드_2002-05-02_미국
24671,20040550,헌티드맨션,2004-04-15,미국,헌티드맨션_2004-04-15_미국
24703,20050165,허비,2005-08-19,미국,허비_2005-08-19_미국
24782,20050338,"나니아연대기-사자,마녀그리고옷장",2005-12-29,미국,"나니아연대기-사자,마녀그리고옷장_2005-12-29_미국"
24850,20100193,페르시아의왕자:시간의모래,2010-05-27,미국,페르시아의왕자:시간의모래_2010-05-27_미국
25153,20050126,패시파이어,2005-06-03,미국,패시파이어_2005-06-03_미국
25172,20090930,이상한나라의앨리스,2010-03-04,미국,이상한나라의앨리스_2010-03-04_미국
25435,19950078,정글북,1995-01-28,미국,정글북_1995-01-28_미국
25678,19960218,월트디즈니의노틀담의꼽추,1996-07-06,미국,월트디즈니의노틀담의꼽추_1996-07-06_미국
25732,19980113,조지오브정글,1998-04-25,미국,조지오브정글_1998-04-25_미국
26046,20090681,크리스마스캐롤,2009-11-26,미국,크리스마스캐롤_2009-11-26_미국
26170,20040685,프린세스다이어리2,2004-10-29,미국,프린세스다이어리2_2004-10-29_미국
26258,20090148,하이스쿨뮤지컬:졸업반,2009-02-19,미국,하이스쿨뮤지컬:졸업반_2009-02-19_미국
26406,20040630,카우삼총사,2004-08-06,미국,카우삼총사_2004-08-06_미국
26439,20060146,캐리비안의해적:망자의함,2006-07-06,미국,캐리비안의해적:망자의함_2006-07-06_미국
26750,20060074,에이트빌로우,2006-04-06,미국,에이트빌로우_2006-04-06_미국
26762,20040504,리지맥과이어,2004-02-27,미국,리지맥과이어_2004-02-27_미국
26773,20050364,치킨리틀,2006-01-26,미국,치킨리틀_2006-01-26_미국
26966,20000158,티거무비,2000-05-04,미국,티거무비_2000-05-04_미국
27375,20000132,마이티조영,2000-04-01,미국,마이티조영_2000-04-01_미국
27523,20000200,다이너소어,2000-07-15,미국,다이너소어_2000-07-15_미국
27529,19970322,플러버,1997-12-20,미국,플러버_1997-12-20_미국
27660,20000319,102달마시안,2000-12-22,미국,102달마시안_2000-12-22_미국
27733,19970201,월트디즈니의헤라클레스,1997-07-05,미국,월트디즈니의헤라클레스_1997-07-05_미국
27755,19970159,정글2정글,1997-05-31,미국,정글2정글_1997-05-31_미국
28154,20108120,로빈슨가의모험,1972-07-21,미국,로빈슨가의모험_1972-07-21_미국
28159,20108115,대자연의투쟁,1972-05-25,미국,대자연의투쟁_1972-05-25_미국
28161,20108105,털보대소동,1972-04-08,미국,털보대소동_1972-04-08_미국
28247,20108648,잠자는숲속의공주,1973-07-25,미국,잠자는숲속의공주_1973-07-25_미국
29316,19920388,피터팬,1992-12-18,미국,피터팬_1992-12-18_미국
