,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
0,20203702,노량: 죽음의 바다,Noryang: Deadly Sea ,2022,20231220,장편,개봉예정,한국,"액션,드라마",한국,액션,[{'peopleNm': '김한민'}],(주)빅스톤픽쳐스,2023
5,20230167,아줌마,AJOOMMA,2022,20231129,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '허 슈밍'}],(주)더웨일컴퍼니,2023
6,20235476,젖어있는 유부녀 여직원,,2023,20231130,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
7,20235454,발기한 채 쳐다보는 여동생의 남친,,2023,20231130,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
14,20235909,젖큰 옆집 누나,,,20231115,장편,개봉,한국,,한국,,[],주식회사 루믹스미디어,2023
17,20234614,맛있는 외도:몰래 하는 섹스,,,20231031,장편,개봉,한국,,한국,,[{'peopleNm': '핑마'}],와이제이스토리,2023
23,20234705,친구에게 공유된 아내,,2023,20231026,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
24,20234704,옆집 아저씨에게 빼앗긴 내 여자,,2023,20231026,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
25,20234924,은밀한 마사지샵 부부 교환 무삭제,,2023,20231025,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)두리컴미디어,2023
26,20234678,손기술이 죽여줘 10초 컷!,,2023,20231023,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],(주)영진크리에이티브,2023
27,20232502,핫 한 장모님,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김도현'}],(주)뮤직엔닷컴,2023
28,20232835,찰떡진 거유 장모와 말뿌리 사위,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김도현'}],(주)뮤직엔닷컴,2023
29,20234699,젖큰자매의맛,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김레이'}],스마일컨텐츠,2023
30,20234662,잘 싸게 해주는 선생님,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
31,20233843,음란한 장모의 사위사랑,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)씨맥스커뮤니케이션즈,2023
32,20234661,어긋난 삽입! 친구 남친의 대물,,2023,20231020,장편,개봉,한국,성인물(에로),한국,성인물(에로),[],(주)샤이커뮤니케이션즈,2023
33,20234695,레드 파라다이스,,,20231020,장편,개봉,한국,"성인물(에로),드라마,스릴러",한국,성인물(에로),[{'peopleNm': '이시영'}],(주)룬컴퍼니,2023
35,20235059,그녀의 비밀스러운 계약,,2023,20231020,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '선우용'}],(주)룬컴퍼니,2023
