,movieCd,movieNm,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
0,20203702,노량: 죽음의 바다,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,20230167,아줌마,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20235476,젖어있는 유부녀 여직원,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,20235454,발기한 채 쳐다보는 여동생의 남친,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,20235909,젖큰 옆집 누나,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20234614,맛있는 외도:몰래 하는 섹스,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20234705,친구에게 공유된 아내,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,20234704,옆집 아저씨에게 빼앗긴 내 여자,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,20234924,은밀한 마사지샵 부부 교환 무삭제,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,20234678,손기술이 죽여줘 10초 컷!,2023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,20232502,핫 한 장모님,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,20232835,찰떡진 거유 장모와 말뿌리 사위,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,20234699,젖큰자매의맛,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,20234662,잘 싸게 해주는 선생님,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,20233843,음란한 장모의 사위사랑,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,20234661,어긋난 삽입! 친구 남친의 대물,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,20234695,레드 파라다이스,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
35,20235059,그녀의 비밀스러운 계약,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,20235099,어게인 아내의 흑심,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,20235113,어게인 남편의 새 여자,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,20234703,몰래 삽입한 그녀,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,20234702,내 여친 속살에 흥분한 친구 놈,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,20234671,아낌없이 다 내주는 형수님,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,20228376,비밀 : 나쁜 관계 무삭제,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,20234953,국제결혼2,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,20234009,흑인에게 미친 여친 무삭제판,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,20234642,초자연적 삽입,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,20234660,눈앞에서 구경한 여친의 섹스,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,20234700,이성 잃고 뚫어버린 대물남,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,20234701,여사친의 젖은 속살,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,20233861,바람난 형수님 참교육,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,20234698,1등글래머친구여동생-무삭제,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
