,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
0,1941,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1947,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1948,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1950,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1952,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1955,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,1956,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,1,0,2,3,0,0
9,1957,0,1,0,0,0,0,4,7,0,0,0,3,0,0,1,1,0,1,0,0,0,0
10,1958,0,0,0,0,0,0,7,14,0,1,1,1,0,0,0,0,1,0,0,2,0,0
11,1960,0,0,0,1,0,0,7,17,0,0,1,2,0,0,1,0,1,0,0,0,0,0
12,1961,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,1962,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,1963,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1964,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,1965,0,1,0,0,0,0,8,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0
17,1966,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1967,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
19,1968,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
20,1969,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,1970,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1971,0,2,0,3,26,0,34,47,4,1,1,9,8,0,1,0,30,1,5,8,0,0
23,1972,0,5,0,2,16,1,46,40,3,3,8,6,6,0,6,1,26,7,6,8,2,0
24,1973,0,1,0,2,8,2,25,27,3,3,5,10,0,0,3,1,20,2,3,4,1,0
25,1974,0,0,0,8,9,0,55,46,2,1,4,5,0,0,3,0,35,2,6,5,0,0
