,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
488,19820118,환타지아,Fantasia,1940,19821001,장편,개봉,미국,"가족,판타지",미국,가족,"[{'peopleNm': '사무엘 암스트롱'}, {'peopleNm': '포드 비브'}]",월트 디즈니 픽쳐스,1982
2386,20040745,인크레더블,The Incredibles,2004,20041215,장편,개봉,미국,애니메이션,미국,애니메이션,[{'peopleNm': '브래드 버드'}],월트 디즈니 픽쳐스,2004
5830,20207443,소울,SOUL,2020,20210120,장편,개봉,미국,애니메이션,미국,애니메이션,[{'peopleNm': '피트 닥터'}],월트 디즈니 픽쳐스,2021
11084,19980282,벅스 라이프,A Bug's Life,1998,19981212,장편,개봉,미국,"애니메이션,가족",미국,애니메이션,[{'peopleNm': '존 라세터'}],월트디즈니,1998
12692,20030072,니모를 찾아서,Finding Nemo,2003,20030605,장편,개봉,미국,"애니메이션,코미디,어드벤처,가족",미국,애니메이션,[{'peopleNm': '앤드류 스탠튼'}],월트디즈니코리아㈜,2003
12703,20090391,업,Up,2008,20090729,장편,개봉,미국,"애니메이션,코미디,어드벤처,가족",미국,애니메이션,"[{'peopleNm': '피트 닥터'}, {'peopleNm': '밥 피터슨'}]",월트 디즈니 픽쳐스,2009
12705,20010292,몬스터 주식회사,Monsters.Inc,2001,20011220,장편,개봉,미국,"애니메이션,코미디",미국,애니메이션,"[{'peopleNm': '피터 닥터'}, {'peopleNm': '데이빗 실버맨'}, {'peopleNm': '리 언크리치'}]",월트디즈니,2001
12706,19920231,미녀와 야수,Beauty and the Beast,1991,19920704,장편,개봉,미국,"애니메이션,드라마,가족",미국,애니메이션,"[{'peopleNm': '게리 트러스데일'}, {'peopleNm': '커크 와이즈'}]",월트디즈니,1992
12708,19980173,뮬란,Mulan,1998,19980717,장편,개봉,미국,"애니메이션,어드벤처",미국,애니메이션,"[{'peopleNm': '베리 쿡'}, {'peopleNm': '토니 밴크로프트'}]",월트디즈니,1998
12709,19940256,라이온 킹,The Lion King,1994,19940702,장편,개봉,미국,"애니메이션,어드벤처,가족,뮤지컬,드라마",미국,애니메이션,"[{'peopleNm': '로저 알러스'}, {'peopleNm': '롭 민코프'}]",월트디즈니,1994
12710,19970306,인어공주 ,The Little Mermaid,1989,19911221,장편,개봉,미국,"애니메이션,멜로/로맨스,가족,뮤지컬",미국,애니메이션,"[{'peopleNm': '존 머스커'}, {'peopleNm': '론 클레멘츠'}]",월트디즈니,1991
12725,20000211,환타지아2000,Fantasia2000,2000,20000805,장편,개봉,미국,"애니메이션,뮤지컬",미국,애니메이션,"[{'peopleNm': '제임스 알거'}, {'peopleNm': '헨델 부토이'}, {'peopleNm': '에릭 골드버그'}, {'peopleNm': '괴탄 브릿지'}, {'peopleNm': '폴 브릿지'}]",월트 디즈니 픽쳐스,2000
17714,20159748,투모로우랜드,Tomorrowland,2014,20150527,장편,개봉,미국,"액션,어드벤처,미스터리,SF",미국,액션,[{'peopleNm': '브래드 버드'}],월트 디즈니 픽쳐스,2015
20441,20090866,G-포스: 기니피그 특공대,G-Force,2008,20100422,장편,개봉,미국,"가족,어드벤처,액션",미국,가족,[{'peopleNm': '호이트 예이트만'}],월트 디즈니 픽쳐스,2010
20522,20090850,공주와 개구리,The Princess And The Frog,2009,20100121,장편,개봉,미국,"애니메이션,멜로/로맨스",미국,애니메이션,"[{'peopleNm': '존 머스커'}, {'peopleNm': '론 클레멘츠'}]",월트디즈니 애니메이션 스튜디오,2010
21347,20060086,와일드,The Wild,2006,20060420,장편,개봉,미국,"애니메이션,코미디,어드벤처",미국,애니메이션,[{'peopleNm': '스티브 스파즈 윌리엄스'}],월트 디즈니 픽쳐스,2006
21478,19950232,포카혼타스 ,Pocahontas,1994,19950701,장편,개봉,미국,애니메이션,미국,애니메이션,"[{'peopleNm': '마이크 가브리엘'}, {'peopleNm': '에릭 골드버그'}]",월트디즈니,1995
21597,19940097,쿨 러닝 ,Cool Runnings,1993,19940205,장편,개봉,미국,"드라마,코미디,어드벤처",미국,드라마,[{'peopleNm': '존 터틀타웁'}],월트 디즈니 픽쳐스,1994
21646,19960361,101 달마시안,101 Dalmatians,1996,19961221,장편,개봉,미국,"가족,어드벤처,코미디",미국,가족,[{'peopleNm': '스티븐 헤렉'}],월트 디즈니 픽쳐스,1996
22053,20108885,그레이트 월츠,The Waltz King,1963,19730315,단편,기타,미국,드라마,미국,드라마,[{'peopleNm': '스티브 프레빈'}],월트 디즈니 픽쳐스,1973
22273,20108734,마술의 검,The Sword in the Stone,1963,19720101,장편,기타,미국,"애니메이션,가족,어드벤처,판타지",미국,애니메이션,[{'peopleNm': '볼프강 라이터만'}],월트 디즈니 픽쳐스,1972
